Year,Age,Death Rate,ln Death Rate
1985,90,0.259748671,-1.348040764
1990,60,0.015070716,-4.195001729
1990,61,0.016528738,-4.102654743
1990,62,0.017982168,-4.018374652
1990,63,0.019351632,-3.94497853
1990,64,0.020491507,-3.887744772
1990,65,0.021917525,-3.82046874
1990,66,0.023184685,-3.764263366
1990,67,0.024806515,-3.696648965
1990,68,0.027256099,-3.602477953
1990,69,0.028505404,-3.55766161
1990,70,0.033292113,-3.402434764
1990,71,0.033110123,-3.407916211
1990,72,0.039434292,-3.233119475
1990,73,0.041959903,-3.171040799
1990,74,0.042110531,-3.167457422
1990,75,0.053679522,-2.924723685
1990,76,0.055541516,-2.8906245
1990,77,0.061610228,-2.786927377
1990,78,0.06831819,-2.683579224
1990,79,0.073779344,-2.606676477
1990,80,0.084101302,-2.475733232
1990,81,0.096151987,-2.341825137
1990,82,0.105524555,-2.248811609
1990,83,0.118694211,-2.131204749
1990,84,0.13127902,-2.030430295
1990,85,0.142022714,-1.951768277
1990,86,0.159601498,-1.835075207
1990,87,0.176131002,-1.73652723
1990,88,0.19923577,-1.61326638
1990,89,0.216704016,-1.529222838
1990,90,0.234034434,-1.45228702
1995,60,0.013659668,-4.293307743
1995,61,0.014702524,-4.219736085
1995,62,0.015841589,-4.145116596
1995,63,0.017598745,-4.039927688
1995,64,0.019503775,-3.937147268
1995,65,0.020825485,-3.871577817
1995,66,0.022217784,-3.806862225
1995,67,0.023966626,-3.731093011
1995,68,0.026274543,-3.639154739
1995,69,0.027979863,-3.576270207
1995,70,0.030477578,-3.490764015
1995,71,0.031874322,-3.445954558
1995,72,0.034936918,-3.354211187
1995,73,0.038889501,-3.247030971
1995,74,0.041847689,-3.173718716
1995,75,0.049898958,-2.997755158
1995,76,0.046591605,-3.0663349
1995,77,0.057500792,-2.855956561
1995,78,0.063394795,-2.758373512
1995,79,0.063324434,-2.759484026
1995,80,0.083789301,-2.479449956
1995,81,0.083813007,-2.479167073
1995,82,0.095852925,-2.344940289
1995,83,0.106248608,-2.241973568
1995,84,0.119238376,-2.126630629
1995,85,0.132089641,-2.024274489
1995,86,0.148049591,-1.910207986
1995,87,0.162167879,-1.81912319
1995,88,0.185211706,-1.68625575
1995,89,0.19805246,-1.619223335
1995,90,0.220583432,-1.511479278
2000,60,0.011916082,-4.429866356
2000,61,0.012317188,-4.396759564
2000,62,0.014170691,-4.256579494
2000,63,0.014795787,-4.213412806
2000,64,0.016342149,-4.114007657
2000,65,0.01783134,-4.026797692
2000,66,0.02003457,-3.910296009
2000,67,0.021045752,-3.861056537
2000,68,0.023393814,-3.755283651
2000,69,0.025576104,-3.666096805
2000,70,0.027309065,-3.600536588
2000,71,0.029809716,-3.512920896
2000,72,0.033608349,-3.392980755
2000,73,0.035583126,-3.335883751
2000,74,0.03913271,-3.240796596
2000,75,0.043130113,-3.143533846
2000,76,0.047279572,-3.051676957
2000,77,0.051788308,-2.960590861
2000,78,0.056831466,-2.867665119
2000,79,0.06207069,-2.779481379
2000,80,0.075507758,-2.583519873
2000,81,0.076635846,-2.568690353
2000,82,0.091324831,-2.393332556
2000,83,0.101662784,-2.286093983
2000,84,0.102840848,-2.274572647
2000,85,0.134018707,-2.009775885
2000,86,0.138197507,-1.979071409
2000,87,0.15153768,-1.88692097
2000,88,0.169812749,-1.773058926
2000,89,0.189533066,-1.663191777
2000,90,0.212507335,-1.548778773
2005,60,0.010943766,-4.514985292
2005,61,0.011384133,-4.475534756
2005,62,0.012251327,-4.402121061
2005,63,0.013229833,-4.325280905
2005,64,0.01358824,-4.298550594
2005,65,0.015813071,-4.146918431
2005,66,0.016452753,-4.107262456
2005,67,0.01767551,-4.035575215
2005,68,0.019222235,-3.951687604
2005,69,0.021502412,-3.839590145
2005,70,0.022661102,-3.787105398
2005,71,0.026270311,-3.639315853
2005,72,0.028423588,-3.5605359
2005,73,0.030889431,-3.477341206
2005,74,0.035123653,-3.348880511
2005,75,0.036752535,-3.303548086
2005,76,0.04097817,-3.194715799
2005,77,0.045997034,-3.079178363
2005,78,0.051332664,-2.969427999
2005,79,0.056015817,-2.882121179
2005,80,0.06335854,-2.758945571
2005,81,0.070998701,-2.645093704
2005,82,0.07913061,-2.536655495
2005,83,0.089187722,-2.417011891
2005,84,0.09759193,-2.326960471
2005,85,0.117614559,-2.140342453
2005,86,0.121185773,-2.1104306
2005,87,0.142710169,-1.946939498
2005,88,0.16015967,-1.831584025
2005,89,0.158306492,-1.843222302
2005,90,0.21482089,-1.537950669
